Company,items,industry
엑스페릭스,"['지문인식 등록, 인증 기기 및 솔루션']",['전자부품 제조업']
유일에너테크,['2차전지 제조장비'],['특수 목적용 기계 제조업']
디스플레이텍,['LCD Module'],['전자부품 제조업']
자비스,['자동엑스레이검사장비'],['특수 목적용 기계 제조업']
엠젠솔루션,"['프린터형상기, 광통신장비, Bio이종장기, AI솔루션']",['기계장비 및 관련 물품 도매업']
센서뷰,"['T&M 케이블, 초소형 전송선로']",['절연선 및 케이블 제조업']
코아시아씨엠,['휴대폰용카메라렌즈모듈제조'],['사진장비 및 광학기기 제조업']
잉크테크,"['잉크젯프린터용 잉크카트리지, 재충전 잉크']",['기타 화학제품 제조업']
덕우전자,['카메라 모듈 부품'],['전자부품 제조업']
퓨런티어,"['전장카메라모듈장비, 모바일카메라모듈장비, PC및 광원']","['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
케일럼,"['지열발전설비, 항공기MRO, 항공부품제조']","['구조용 금속제품, 탱크 및 증기발생기 제조업']"
아이디스홀딩스,['비금융지주회사'],['기타 전문 서비스업']
메디프론,['음반재킷 제작'],['기계장비 및 관련 물품 도매업']
엔시스,['2차전지 머신비전 검사장비'],['기타 전기장비 제조업']
삼지전자,"['통신기기,정보기기,BACKLIGHTUNIT사업']",['통신 및 방송 장비 제조업']
오픈베이스,"['트래픽솔루션(웹스위치,트래픽서버)']","['컴퓨터 프로그래밍, 시스템 통합 및 관리업']"
청호ICT,"['금융단말기(현금자동입출금기,온라인단말기),통신기기 제조,판매']",['일반 목적용 기계 제조업']
심텍홀딩스,['반도체용 인쇄회로기판'],['통신 및 방송 장비 제조업']
유아이엘,"['스마트폰 기구부품(키버튼,금속부품,부자재,악세서리 등)']",['전자부품 제조업']
씨아이테크,"['컴퓨터 소프트웨어,하드웨어 서버,도매']",['그외 기타 제품 제조업']
트루엔,"['IP 카메라, 영상스트리밍솔루션, IoT기기 및 서비스']",['영상 및 음향기기 제조업']
에이엔피,"['전자부품(인쇄회로기판),무정전 전원공급장치 제조']",['전자부품 제조업']
엠투아이,"['스마트HMI, 스마트SCADA, 스마트팩토리솔루션']","['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
에이루트,"['POS프린터, Mobile프린터, Label프린터']",['컴퓨터 및 주변장치 제조업']
팸텍,"['카메라모듈 검사장비, 반도체 검사장비']",['특수 목적용 기계 제조업']
아모센스,['무선충전 차폐시트'],['전자부품 제조업']
에이텍,"['PC,모니터']",['컴퓨터 및 주변장치 제조업']
현우산업,['인쇄회로판(PCB)'],['전자부품 제조업']
바이오스마트,"['M/S 카드제조업, IC 카드제조, 카드장비판매']",['전자부품 제조업']
빅솔론,"['POS용프린터,프린팅메카니즘']",['컴퓨터 및 주변장치 제조업']
파이버프로,['광섬유 관성센서 및 관성 측정장치'],"['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
파이오링크,"['ADC(서버부하 분산장치), 보안스위치, 웹방화벽']",['통신 및 방송 장비 제조업']
아이엠,['휴대폰카메라모듈 등'],['전자부품 제조업']
서원인텍,['휴대폰용키패드및부자재'],['통신 및 방송 장비 제조업']
광전자,"['트랜지스터,SMD TR,발광소자,리모콘모듈,발광다이오드(L.E.D),다이오드용웨이퍼팹(Fab) 제조,판매']",['반도체 제조업']
옴니시스템,"['전자식전력량계,설비미터,원격검침시스템']","['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
컨버즈,"['ICS중계기, 블랙박스']",['통신 및 방송 장비 제조업']
백금T&A,['레이더디텍터'],['통신 및 방송 장비 제조업']
앤디포스,"['TSP용 양면 테이프, 윈도우 필름']",['플라스틱제품 제조업']
우리넷,"['광전송장비(MSPP), 교환장비(AGW)']",['통신 및 방송 장비 제조업']
에이텍모빌리티,['교통카드단말기'],['통신 및 방송 장비 제조업']
재영솔루텍,['플라스틱 사출금형'],['사진장비 및 광학기기 제조업']
제이씨현시스템,"['메인보드, 그래픽카드']",['기계장비 및 관련 물품 도매업']
옵트론텍,"['IRFilter,Grating']",['사진장비 및 광학기기 제조업']
푸른기술,"['금융자동화기기모듈,역무자동화기기모듈,특수단말시스템']",['컴퓨터 및 주변장치 제조업']
이엠앤아이,['OLED 유무기 소재 개발 및 판매'],['기초 화학물질 제조업']
액트로,['모바일용 액츄에이터 및 조립자동화 설비'],['전자부품 제조업']
삼진엘앤디,"['몰드프레임, TFT-LCD BLU']",['그외 기타 제품 제조업']
엘컴텍,"['BLU(Back Light Unit), CCM(Compact Camera Module), Display용 EL']",['전자부품 제조업']
우리로,"['광분배기(웨이퍼, 칩, 모듈), 광다이오드']",['기타 전문 도매업']
피씨디렉트,"['스토리지(HDD), 프로세서(CPU), Memory, Monitor등']",['기계장비 및 관련 물품 도매업']
코위버,"['가입가계 가입자계 광단국장치,SONs-51,OMS-155M,OCSU,E2 가입자 전송장비,SDS-2500 등']",['통신 및 방송 장비 제조업']
RF머트리얼즈,"['광통신, RF통신용 패키지']",['전자부품 제조업']
이노인스트루먼트,['기업 인수 합병'],['통신 및 방송 장비 제조업']
바이오로그디바이스,['모바일용 카메라모듈 부품외'],['전자부품 제조업']
태성,['기업인수 및 합병'],['특수 목적용 기계 제조업']
아이씨에이치,['스마트기기용 필름형 안테나'],['그외 기타 제품 제조업']
아이즈비전,"['홈쇼핑(아이즈홈쇼핑), 국제전화(아이즈텔), 가정용유무선 전화기판매(TopPhone)']",['전기 통신업']
슈프리마에이치큐,['지문인식솔루션및시스템'],['통신 및 방송 장비 제조업']
남성,"['수출입(카오디오)/통신기기 제조,판매/이동통신,유선방송,정보통신/생활필수품,식품 판매/부동산 임대']",['기타 전문 도매업']
와이제이엠게임즈,['휴대폰용 진동모터'],['전자부품 제조업']
블루콤,['블루투스헤드셋'],['영상 및 음향기기 제조업']
옵티시스,['광링크 모듈 등'],['통신 및 방송 장비 제조업']
해성옵틱스,['휴대폰용 렌즈모듈 및 카메라모듈'],['사진장비 및 광학기기 제조업']
에스에이티,"['교통관련장비(고정식축중기, 이동식축중기 등)']","['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
상신전자,"['노이즈필터(48.81%), 코일(19.33%), 리액터(10.75%)']",['전자부품 제조업']
에이치시티,['기술검사서비스'],['기타 과학기술 서비스업']
머큐리,"['AP 단말기, 광섬유 및 광케이블, 위성통신 전송장비']",['통신 및 방송 장비 제조업']
알엔투테크놀로지,"['이동통신부품(커플러), 의료기기용기판, 파우더']",['전자부품 제조업']
이미지스,"['터치스크린칩, 햅틱칩']",['반도체 제조업']
현대에이치티,['스마트홈 제조'],['통신 및 방송 장비 제조업']
위드텍,"['AMCs 모니터링 시스템, 공정 프로세스 모니터링 시스템, TMS']","['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
유니온커뮤니티,['지문인식출입통제기'],['통신 및 방송 장비 제조업']
케스피온,['휴대폰안테나'],['통신 및 방송 장비 제조업']
아이크래프트,"['인터넷핵심망(CCR,MCR,NAS등)']","['컴퓨터 프로그래밍, 시스템 통합 및 관리업']"
라닉스,"['자동차 및 IoT 통신, 보안솔루션']",['반도체 제조업']
휴림네트웍스,"['지능형서비스로봇, 기지국안테나, 여행']",['통신 및 방송 장비 제조업']
삼양옵틱스,['디지털 카메라용 교환렌즈'],['사진장비 및 광학기기 제조업']
디티앤씨,['전기전자규격 인증서비스'],['기타 과학기술 서비스업']
포커스에이치엔에스,['영상저장장치 및 카메라'],['영상 및 음향기기 제조업']
에이치앤비디자인,['스마트 액세서리(보조배터리 등)'],"['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업']"
윈텍,['비전검사장비'],['특수 목적용 기계 제조업']
한일진공,['진공장비'],['특수 목적용 기계 제조업']
코콤,['비디오도어폰'],['통신 및 방송 장비 제조업']
코맥스,"['홈네트워크시스템,CCTV 방송설비']",['통신 및 방송 장비 제조업']
디에이피,['Build-Up PCB(인쇄회로기판)'],['전자부품 제조업']
기산텔레콤,"['광모듈, 에코 켄슬러, 중계기, VoIP Server등']",['통신 및 방송 장비 제조업']
SBW생명과학,"['Blue Filter, IR Filter, Camera Module']",['전자부품 제조업']
인콘,['영상보안장비 및 영상보안솔루션'],['상품 종합 도매업']
주연테크,"['각종컴퓨터,주변기기 제조/소프트웨어 개발']",['컴퓨터 및 주변장치 제조업']
라이콤,['금융 지원 서비스'],['통신 및 방송 장비 제조업']
다보링크,"['AP, APController 외']",['통신 및 방송 장비 제조업']
에스텍,['스피커 및 스피커시스템'],['영상 및 음향기기 제조업']
빛샘전자,"['전광판용 LED 모듈, LED 전광판, 광접속함체']",['전자부품 제조업']
성우전자,['휴대폰금속프레스부품(전자파차단ShieldCan)'],['통신 및 방송 장비 제조업']
파인테크닉스,['LED조명기기'],['전구 및 조명장치 제조업']
씨유테크,"['휴대폰, 전장 등 실장부품']",['전자부품 제조업']
씨엔플러스,['커넥터'],['전자부품 제조업']
서울전자통신,"['전자변성기, 무역업(트랜스포머자재)']","['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업']"
딜리,['디지털 UV 프린터'],['컴퓨터 및 주변장치 제조업']
카스,"['전자저울,로드셀']",['기계장비 및 관련 물품 도매업']
앱코,"['게이밍기어, 뉴라이프가전 등']",['컴퓨터 및 주변장치 제조업']
S&K폴리텍,['고밀도폴리우레탄폼시트'],['전자부품 제조업']
CS,"['이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)']",['통신 및 방송 장비 제조업']
옵티코어,"['광트랜시버, 광다중화장치 등']",['마그네틱 및 광학 매체 제조업']
케이씨티,"['금융단말시스템,복표발매기,마권발매기']","['컴퓨터 프로그래밍, 시스템 통합 및 관리업']"
아이디피,"['카드인쇄용 프린터, 카드인쇄용 리본']",['컴퓨터 및 주변장치 제조업']
에프알텍,['이동통신용중계기'],['통신 및 방송 장비 제조업']
신라섬유,['부동산'],['가전제품 및 정보통신장비 소매업']
피피아이,"['데이터센터용 AWG, 통신용 AWG, 스플리터, 계측기 등']",['통신 및 방송 장비 제조업']
하인크코리아,['모바일 IT응용제품 외'],['그외 기타 제품 제조업']
텔레필드,['광전송장비'],['통신 및 방송 장비 제조업']
삼영에스앤씨,"['칩형 온습도센서,상대습도센서,미세먼지센서, 공기질 통합센서 노드 및 트랜스미터']",['전자부품 제조업']
인터엠,['음향기기'],['영상 및 음향기기 제조업']
이랜시스,['비데도어락부품'],['전자부품 제조업']
엑스큐어,"['USIM카드, 금융카드']",['소프트웨어 개발 및 공급업']
엔피디,['스마트폰 OLED용 FPCA'],['전자부품 제조업']
화인써키트,['인쇄회로기판(PCB)'],['전자부품 제조업']
디지아이,"['잉크젯 플로터, 커팅 플로터']",['컴퓨터 및 주변장치 제조업']
한국정보공학,"['그룹웨어, 자료관리시스템']",['기타 전문 도매업']
파커스,"['프린터 부품, LED 조명기기,및 헬스케어 제품 제조업체']",['반도체 제조업']
동일기연,['EMI'],['전자부품 제조업']
모아텍,['위치제어용초정및소형모터'],['전자부품 제조업']
