Company,items,industry
제너셈,['반도체 후공정 장비'],['특수 목적용 기계 제조업']
저스템,['반도체 습도제어 System'],['특수 목적용 기계 제조업']
마이크로투나노,['메모리 테스트용 프로브 카드'],['반도체 제조업']
샘씨엔에스,['세라믹 STF(다층 세라믹 기판)'],['전자부품 제조업']
티에프이,"['COK, Board, Test Socket']",['전자부품 제조업']
큐에스아이,['레이저다이오드(LaserDiode)'],['반도체 제조업']
시그네틱스,['반도체 패키징'],['반도체 제조업']
제이아이테크,['반도체 프리커서 및 쿼츠/블랭크/포토마스크용 케이스'],['기타 화학제품 제조업']
코스텍시스,['기업 인수 및 합병'],['반도체 제조업']
시지트로닉스,['특화반도체 소자'],['반도체 제조업']
서플러스글로벌,"['반도체 제조용 장비, 유휴기계설비 도소매']",['기계장비 및 관련 물품 도매업']
제이티,['반도체장비(Burn-in Sorter 등)'],['특수 목적용 기계 제조업']
티엘비,['SSD Module / DRAM Module PCB'],['전자부품 제조업']
자람테크놀로지,"['XGSPON, 기가와이어, 광트랜시버 등']",['반도체 제조업']
아진엑스텍,"['전자집적회로, 모션제어칩']",['반도체 제조업']
네오셈,['반도체 검사장비'],['특수 목적용 기계 제조업']
유니트론텍,"['메모리/비메모리반도체, 디스플레이 모듈']",['자동차 부품 및 내장품 판매업']
로체시스템즈,['LCD 제조용 이송장비'],['특수 목적용 기계 제조업']
KX하이텍,['TRAY(반도체Packing재료)'],['플라스틱제품 제조업']
러셀,['반도체장비 리퍼비시'],['특수 목적용 기계 제조업']
마이크로컨텍솔,"['BGA IC Burn-In Socket,DRAM Module Socket']",['전자부품 제조업']
램테크놀러지,"['반도체 식각액, 박리액, 세정액 등']",['기초 화학물질 제조업']
메카로,['반도체용 전구체 및 히터블록'],['반도체 제조업']
LB루셈,['디스플레이 구동 반도체(Driver IC)'],['반도체 제조업']
피엠티,['반도체 검사용 프로브카드'],"['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
오디텍,"['광반도체, 소자 및 모듈']",['반도체 제조업']
지니틱스,['반도체 IC'],['반도체 제조업']
아이윈플러스,['이미지센서 패키징'],['전자부품 제조업']
지오엘리먼트,"['센서, 캐니스터']",['전자부품 제조업']
큐알티,['반도체 신뢰성 검사 및 종합분석'],"['그외 기타 전문, 과학 및 기술 서비스업']"
네온테크,['기업인수합병'],['특수 목적용 기계 제조업']
아이앤씨,['지상파 DMB용 수신칩(모바일 TV용 SoC)'],['반도체 제조업']
피델릭스,['PSRAM 및 LPSDRAM'],['반도체 제조업']
바이옵트로,['인쇄회로기판(PCB) 전기검사기'],['특수 목적용 기계 제조업']
한국전자홀딩스,"['시장조사,경영컨설팅']",['기타 금융업']
엔시트론,['디지털오디오앰프칩'],['반도체 제조업']
엑사이엔씨,['실내건축 공사업'],['실내건축 및 건축마무리 공사업']
픽셀플러스,['CMOS 이미지센서 및 칩셋'],['전자부품 제조업']
성우테크론,"['리드프레임,반도체검사장비']",['전자부품 제조업']
더코디,"['반도체 및 평판디스플레이 제조용 장비(IRIS, LOZIX, HP/CP)']",['특수 목적용 기계 제조업']
비케이홀딩스,"['Metal Paste, Solder Ball']",['전자부품 제조업']
테크엘,"['메모리 카드, 스마트 카드 등']",['반도체 제조업']
