종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
21040,대호특수강,KOSDAQ,중견기업부,4815,-60,-1.23,4875,4880,4805,11745,56800975,52254243405,10852387
21045,대호특수강우,KOSDAQ,중견기업부,8390,-40,-0.47,8490,8490,8220,180,1493320,3559423940,424246
67080,대화제약,KOSDAQ,중견기업부,7900,-180,-2.23,8080,8110,7900,43827,348983570,1.47072E+11,18616650
298540,더네이쳐홀딩스,KOSDAQ,우량기업부,21250,-50,-0.23,21150,21700,21000,140064,2990633850,3.126E+11,14710576
118000,더메디팜,KOSPI,,469,-7,-1.47,476,481,460,231679,108785310,43546385484,92849436
192080,더블유게임즈,KOSPI,,40800,-300,-0.73,41500,41500,40700,17070,700506750,7.42183E+11,18190757
393890,더블유씨피,KOSDAQ,기술성장기업부,70700,700,1,70600,71600,68600,348708,24411501100,2.38234E+12,33696518
299170,더블유에스아이,KOSDAQ,중견기업부,1880,-48,-2.49,1901,1918,1875,46342,87659992,56452570440,30027963
12510,더존비즈온,KOSPI,,32600,-50,-0.15,32900,33400,32050,129410,4231073450,9.90479E+11,30382784
224060,더코디,KOSDAQ,투자주의환기종목(소속부없음),6240,-140,-2.19,6320,6350,6100,31990,199423290,21406900320,3430593
302920,더콘텐츠온,KONEX,일반기업부,9000,-200,-2.17,9000,9000,9000,5,45000,40971231000,4552359
213420,덕산네오룩스,KOSDAQ GLOBAL,우량기업부,40900,-250,-0.61,41600,42400,40200,122471,5037314950,1.0156E+12,24831179
317330,덕산테코피아,KOSDAQ,우량기업부,15200,-110,-0.72,15320,15450,15160,45646,696247220,2.79337E+11,18377428
77360,덕산하이메탈,KOSDAQ,우량기업부,7710,-200,-2.53,8000,8040,7650,545297,4235217330,3.50319E+11,45437002
4830,덕성,KOSPI,,8400,-3500,-29.41,12750,14800,8330,28707750,3.54442E+11,1.31712E+11,15680000
4835,덕성우,KOSPI,,7140,-3060,-30,10630,12150,7140,1897315,19669633880,9938880000,1392000
90410,덕신하우징,KOSDAQ,벤처기업부,2180,-35,-1.58,2215,2245,2170,423710,932092145,1.00463E+11,46084095
