Company,items,industry,description
우양,"HMR, 음료 베이스, 퓨레 등","과실, 채소 가공 및 저장 처리업","기업개요
동사는 1992년 설립되었으며 농축수산임산물 및 과실통조림/유사조제식품/즉석조리식품 제조, 수출입 등 식품제조업을 전문으로 한 사업을 영위.
‘뉴뜨레’와 ‘쉐프스토리’라는 자체 브랜드를 통해 일반 소비자에게 직접 판매할 수 있는 제품라인업 및 판매망 확장.
주요 매출처는 CJ제일제당, 풀무원식품 등과 같은 제조유통사와 스타벅스, 이디야, 할리스 등과 같은 외식 프랜차이즈업체이고 식품 사업에 필요한 다양한 제조솔루션을 제공함.
출처 : 에프앤가이드"
풍국주정,발효주정,알코올음료 제조업,"기업개요
소주의 원료로 사용되는 주정을 생산, 공급할 목적으로 1954년 설립됨. 주정과 산업용가스, 수소 및 아세틸렌을 제조하고 있음.
동사는 1953년 창립이후 한국 주류산업의 역사와 함께한 풍국주정공업과 산업용가스 기초 소재 산업에서 큰 도전과 혁신으로 새로운 미래를 열어가고 있는 선도산업과 에스디지가 함께 하는 기업임.
효성, SK어드밴스드, 대한유화공업, 롯데BP로부터 수소 원료가스를 공급받아 양질의 초고순도 수소를 생산함.
출처 : 에프앤가이드"
한일사료,배합사료,동물용 사료 및 조제식품 제조업,"기업개요
동사와와 그 종속기업은 배합사료 제조, 수입육 유통 판매 전문 기업으로 동물용 배합사료, 수입육 등의 사업 영역에서 양계사료, 축우사료, 수입육(우육, 돈육) 등을 생산, 판매함.
배합사료 공장은 국내 1개(경기도용인시 소재) 가동 중이고, 수입육은 미국, 유럽 등에서 수입하고 있음.
사료제조 및 매매업, 양곡매매업, 수출입업, 목축 및 종축업, 부화업 등을 동사의 주요 사업으로 함.
출처 : 에프앤가이드"
남양유업,"시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매",낙농제품 및 식용빙과류 제조업,"기업개요
동사는 유가공 전문업체로서 총 5곳의 제조시설을 보유하고 있으며, 영업 사업부문은 생산하는 제품의 형태에 따라 우유류, 분유류, 기타로 분류됨.
우유류에는 맛있는우유GT, 아인슈타인GT 등이 있으며 분유류에는 아이엠마더, 임페리얼XO 등의 제품군을 보유함.
기타 사업 부문으로는 몸이가벼워지는시간17차, 드빈치치즈, 외식사업, 건강한사람들(음료생산 및 OEM), 금양흥업(부동산경영 및 임대업)이 있음.
출처 : 에프앤가이드"
대상,"전분,라이신,물엿,과당,포도당,MSG및 사료,조미료,항생제,핵산,커피 제조,도매/토목공사,건축공사",기타 식품 제조업,"기업개요
동사는 조미료 및 식품첨가물 제조업 등을 영위할 목적으로 1956년 1월 31일에 설립되었으며 1970년 상장함.
식품사업은 국내 대표적인 종합 식품 브랜드인 '청정원'을 중심으로 '순창고추장' 등 전통 장류부터 '미원' 등의 조미료류, 식초, 액젓 등의 농수산식품, 서구식품, 육가공식품, 냉동식품 등을 판매.
소재사업은 국내 최대의 전분 및 전분당 생산규모를 보유한 전분당 사업과 바이오 사업으로 구성됨.
출처 : 에프앤가이드"
대한제당,"제당,가축용 배합사료,설탕,기능성감미료(자일로올리고당),외식산 제조,도소매/부동산 임대","곡물가공품, 전분 및 전분제품 제조업","기업개요
동사의 주요사업부문은 식품, 축산유통 및 기타로 구성되어 있으며 종속회사의 사료사업부문 및 골프장, 외식업 등이 있음.
주요 제품으로는 식품부문의 설탕 및 조제품, 사료부문의 배합사료가 있으며축산유통부문의 주요 상품은 수입육 및 수산물이 있음.
제당식품부문에서 국내에서는 실수요처, 대리점, 대형할인점을 통해 해외에서는 주로 아시아지역 국가의 실수요처 및 중간무역업체을 통해 판매경로 확보함.
출처 : 에프앤가이드"
샘표,"간장,된장,고추장 제조,가공,판매,무역",기타 금융업,"기업개요
동사는 자회사 관리 및투자를 목적으로하는 지주회사 부문과 식품 제조 및 판매를 목적으로하는 식품사업 부문으로 영업부문을 구분하여 운영하고 있음.
지주사업 부문은 샘표 주식회사, 식품사업 부문은 샘표식품(주), 양포식품(주), (주)샘표아이에스피, 조치원식품(주)의 회사가 있음.
지주사업 부문인 샘표 주식회사는 지분법 수익, 배당 수익, 임대 수익, 브랜드 수익 등의 수익이 있음.
출처 : 에프앤가이드"
신라교역,"원양어업(참치,명태,휠레트,연육,명란,새우),어획물 판매/직물 수출",어로 어업,"기업개요
동사는 원양어업부문, 수산물유통부문, 철강사업부문, 농산물중개부문, 기타사업부문을 영위하고 있음.
원양어업부문에서는 중서부태평양에서 참치를 어획하여 판매하는 사업으로, 조업방법에 따라 횟감용 참치를 어획하는 참치연승어업과 통조림용 참치를 어획하는 참치선망어업이 있음.
철강사업부문은 국내에서는 포스코, 현대제철의 철강제품을 해외에서는 중국, 일본, 인도 등에서 철강제품을 매입하여 판매하고 있음.
출처 : 에프앤가이드"
크라운제과,"비스킷, 스낵, 당과",기타 식품 제조업,"기업개요
2017년 인적 분할로 설립되어 분할 전 회사인 크라운제과홀딩스가 영위하던 사업 중 식품제조 및 판매를 담당하는 식품사업부문을 담당하고 있음.
주요 4대 제과업체로서 높은 시장점유율을 보이며, 주요 제품으로는 초코하임, 쿠크다스, 뽀또, 미니쉘, 빅파이 등이 있음.
서울에 위치한 본사를 포함하여 국내에 총 3개의 생산공장(대전, 진천, 아산)과 각 시·군의 물류창고 등에서 사업활동을 수행함.
출처 : 에프앤가이드"
크라운해태홀딩스,"비스켓,쵸코렛,사탕,웨이퍼 제조,도매",기타 금융업,"기업개요
동사는 2017년 3월 1일을 분할기일로 하여 투자사업부문과 식품사업부문을 인적분할의 방법으로 분할하였음.
분할되는 회사는 식품제조 및 판매를 담당하는 식품사업부문과 자회사 지분의 관리 및 투자를 목적으로 하는 투자사업부문의 분리를 통하여 지주회사로 전환함.
동사와 그 주요 종속회사의 사업부문은 지주부문, 제과부문(크라운제과, 해태제과식품, 훼미리식품), 기타부문으로 나뉘고 있음.
출처 : 에프앤가이드"
CJ프레시웨이,"식자재유통, 단체급식",음·식료품 및 담배 도매업,"기업개요
1988년 10월 설립된 동사는 대한민국을 대표하는 식자재유통 및 푸드서비스(단체급식) 기업임.
사업부문은 크게 식자재유통사업 및 푸드서비스사업, 제조/서비스업으로 구성되어 있으며, 업계 최고 수준의 위생/안전시스템, 물류/IT 인프라를 보유하고 있음.
최근 1인가구의 증가 및 가정 간편식(HMR)시장의 성장으로 수요가 높아지고 있는 맞춤형 식자재 공급에 대한 자체 제조 기반을 확보함.
출처 : 에프앤가이드"
DSEN,"외식프랜차이즈사업,육류가공,식자재유통등",음·식료품 및 담배 도매업,"기업개요
동사는 2005년 8월 30일 설립되어 대전광역시 동구 계족로에 본사를 두고 축산물의 가공, 유통, 제조, 판매를 주요 사업으로 함.
2023년 1월 3일에 ㈜미스터피자가 물적분할로 설립됨. ㈜미스터피자의 불균등 유상증자로 인하여 동사의 지배력이 상실되어 종속기업에서 관계기업으로 변경.
대전 지역 시장점유율 1위 기업으로서 안정적인 돈육을 기반으로 돼지고기 프랜차이즈 사업, B2B 돈육납품, B2C 온라인판매 등의 사업 준비 중.
출처 : 에프앤가이드"
동우팜투테이블,"육계,삼계","도축, 육류 가공 및 저장 처리업","기업개요
양계, 종란, 부화, 사육,가공,판매에 이르는 일련의 전과정을 계열주체인 동사가 일괄적으로 지휘총괄하는 사업을 영위하고 있음.
Farm to Plate System(농장에서 소비자 식탁까지)과 One day System(당일생산, 당일출하) 및 Cold Chain System(냉장유통출하)을 도입함.
브랜드 '동우 바른닭고기'를 중심으로 제품인지도 향상, 판매다각화 및 시장개척을 위해 노력하는 중임.
출처 : 에프앤가이드"
케이엠제약,"구강제품, 화장품,기타 생활용품",기타 화학제품 제조업,"기업개요
동사는 2001년 3월 26일에 설립되었으며 주요 사업으로 오랄케어, 뷰티케어, 기타 생활용품 등 제조 및 도소매업을 영위하고 있음.
동사의 주력제품은 유아용/성인용 치약칫솔제품, 그리고 유아용/성인용 샴푸 및 바디워시, 주름기능성화장품등 스킨케어 제품임.
주력 목표시장은 필수 소비재인 치약/칫솔 등의 구강용품시장(오랄케어)과 목욕제품 및 화장품시장이며, 유통채널은 크게 직접납품과 대리점, OEM/ODM 등으로 나눌 수 있음.
출처 : 에프앤가이드"
큐로홀딩스,"DTIS, Probe Card, H.F PCB",음·식료품 및 담배 소매업,"기업개요
동사는 1987년 12월에 에스비텍 주식회사로 설립되어 2008년 3월 27일 주식회사 큐로홀딩스로 상호를 변경하였음.
동사가 영위하는 주 사업영역은 엔터테인먼트 사업부문, 커피 사업부문, 자원개발 사업부문으로 구성됨.
엔터테인먼트 사업부문은 지배회사인 동사를 중심으로 영화ㆍ드라마 등의 영상 콘텐츠 제작, 연예인 매니지먼트, 보조출연자 공급 에이전시 등을 주요사업으로 영위하고 있음.
출처 : 에프앤가이드"
팜스토리,사료,동물용 사료 및 조제식품 제조업,"기업개요
동사는 1991년 4월 17일 서일산업으로 설립되어 1996년 6월 29일 코스닥시장에 상장함.
동사의 사료부문은 사료산업의 성장 둔화 및 70년대 대기업의 사료산업 진출 등 어려운 시장 환경속에도 적합설계 및 사료효율을 개선하여 효율성과 경제성을 동시에 이루어 내며 매년 높은 성장을 지속하여 왔음.
배합사료산업은 국민소득 증대에 따른 식생활 수준의 향상에 힘입어 육류소비량이 증가하면서 지난 30여 년 동안 성장을 지속하여 왔음.
출처 : 에프앤가이드"
SPC삼립,"빵,아이스크림,과자,케익,유산균음료,인스턴트식품,병조림,면류,식용유 제조,판매",기타 식품 제조업,"기업개요
동사는 1945년 상미당을 설립하고 1968년 삼립식품공업주식회사로 법인 전환한 후, 제과 및 식품 판매유통사업을 영위하며 종합식품기업으로 발돋움함.
빵, 샌드위치, 케이크류 등을 제조/판매하는 Bakery사업부문, 밀가루, 계란, 육가공품, 신선식품 제조/판매 및 직영점/휴게소를 운영하는 Food사업이 있음.
또한 식재료 및 관련 식자재 유통 및 단체급식을 제공하는 유통사업부문, 그 외 물류 사업 등의 기타사업부문으로 구성됨.
출처 : 에프앤가이드"
사조오양,"원양어업/수산물가공(게맛살) 제조,수출입/냉동 및 냉장보관/부동산 임대",수산물 가공 및 저장 처리업,"기업개요
동사는 1969년 설립되어 식품제조, 원양어업, 기타부문(상품, 임대)의 사업영역을 구축하여 성장 발전하였고 업계 최초로 맛살제품을 국내에 도입하였음.
동사는 식품제조, 수산물, 기타부문 등으로 사업영역이 구분되어 있음.
식품제조 부문에서 평택, 금산, 양산, 임실 공장은 각각 육가공, 맛살, 어묵육가공, 만두를 제조하여 공급하며 동사에서 생산되는 제품은 영업본부를 통한 판매 및 사조대림에 공급되고 있음.
출처 : 에프앤가이드"
삼양사,설탕,기타 식품 제조업,"기업개요
동사는 2011년 삼양홀딩스로부터 인적 분할되어 설립되었으며, 사업부문은 크게 식품부문과 화학부문으로 구성.
식품부문의 주요 제품으로는 설탕, 밀가루, 유지, 전분당 등이 있으며, 화학부문의 주요 제품으로는 엔지니어링 플라스틱, PET병 용기, 터치패널용 소재 등이 있음.
급변하는 외부상황에 따른 불확실성, 협상타결 여부, 당사자간 약정 준수 등 여러 변수에 따라 사업화 대상과 시기가 가변적일 수 있음.
출처 : 에프앤가이드"
메지온,"발기부전증치료제, 전립선비대증치료제",자연과학 및 공학 연구개발업,"기업개요
2002년 동아제약에서 동아팜텍으로 분사하여 2013년 현 상호로 변경하였으며 신약후보 물질의 도입, 개발, 기술이전 사업을 영위 중인 C&D업체임.
동아에스티 발기부전치료제 자이데나의 성분 유데나필의 북미와 러시아, 멕시코 특허 보유로 마일스톤과 국내의료기기 부문 매출이 주 수익원임.
발기부전증 및 전립선비대증, 발기부전증과 전립선비대증의 동시적응증, 폰탄수술 치료제 등의 용도로 유데나필의 임상 3상 진행 중에 있음.
출처 : 에프앤가이드"
신라에스지,수산물도매,음·식료품 및 담배 도매업,"기업개요
동사는 1977년 8월 18일에 설립하여 1995년 6월 30일에 코스닥시장에 상장하였음.
동사의 주요사업은 식품제조업으로서 그 품목에는 어육소시지, 수산물 가공, 수산물 도소매 등이 있으며, 유통사업으로 수산물 유통, 축육(우육, 돈육 등) 도소매를 하고 있음.
통조림 자사제품은 ""동표""로 판매하고 있으며, 어육소시지는 CJ제일제당에 OEM으로 납품을 하고 있음.
출처 : 에프앤가이드"
엠에스씨,식품첨가물,기타 식품 제조업,"기업개요
식품첨가물 제조업을 필두로 현재는 식품부문 사업까지 영위하는 식품 및 식품첨가물 신소재 전문회사임.
2017년 12월 HACCP 의무화 시행에 따라 식품 전제품에 HACCP를 적용하는 등 식품안전 강화에도 노력 중임.
기능성 식품 소재 개발 필요성 제고와 천연소재 인지도 향상에 따라 식품 뿐 아니라 의약품, 생활용품 등의 다양한 분야에 활용 가능한 신소재, 색소, 향료 등의 연구개발에도 주력 중.
출처 : 에프앤가이드"
이지바이오,"자돈사료, 사료첨가제",동물용 사료 및 조제식품 제조업,"기업개요
동사는 동물용 약품,배합사료, 기능성 식품의 제품 제조, 판매를 목적으로 하는 사업을 하고 있으며 2020년 5월 1일을 분할기일로 하여 6월 5일 코스닥 시장에 재상장함.
현재 사료첨가제 부문에서 동사는 항생제 대체체로 사용되는 미생물제, 추출제를 주요 제품으로 생산하고 있음.
동사의 주요 제품 중 하나인 주요 제품이라고 할 수 있는 원가 절감형 첨가제인 효소제는 약 1.6조원 규모로 추정됨.
출처 : 에프앤가이드"
진로발효,주정,알코올음료 제조업,"기업개요
1985년 진로의 영등포공장에서 독립법인으로 설립된 동사는 주류, 식품, 소독용 알콜 제조 및 판매 사업을 영위.
국내 총 9개의 주정사가 전국에 각 지역별로 고르게 분포되어 있으며 각사별 시장 점유율에 따라 원료 배정 및 제품 생산량이 결정됨.
주요사업인 주정사업은 대부분 대한주정판매주식회사에 납품하고 있으며, 각 소주 제조회사가 주정을 대한주정판매주식회사로부터 구입하는 방식으로 유통과정의 단순화, 투명화에 대해 노력하고 있음.
출처 : 에프앤가이드"
체리부로,"육계, 사료","도축, 육류 가공 및 저장 처리업","기업개요
동사는 계육제품의 생산 및 판매사업을 주요사업으로 하고 있는 수직계열화 업체이며 사업부문은 육계부문, 육가공유통부문, 종계 및 부화부문으로 나눌 수 있음.
원재료 및 자재와 육성 기술, 위탁수수료 등을 제공하고 육계를 공급받고 있는 육계계열화 업체 중심으로 육계 시장이 형성되어 있음.
동사는 닭고기의 생산 공급, 유통과 관련된 전 사업부문을 담당하는 육계계열화업을 영위하고있음.
출처 : 에프앤가이드"
고려산업,"배합사료,플라스틱용기 제조/부동산 임대","곡물가공품, 전분 및 전분제품 제조업","기업개요
동사는 1957년 고려건설주식회사로 설립되어 1991년 유가증권시장에 상장되었으며, 금강공업 기업집단에 속해있음.
가축용 배합사료의 제조 및 판매를 주업종으로 하고 있으며, 배합사료의 안정적인 판로확보와 함께 축산물 유통 노하우 축적을 위해 식육사업부문(기타부문)을 운영함.
미국, 남미 등으로부터 옥수수, 대두박 등 제품생산에 필요한 원재료를 수입하고 있으며, 부산,대구,창녕 사업장에 배합사료 생산공장을 보유하고 있음.
출처 : 에프앤가이드"
농심홀딩스,"지주회사,투자자문,경영컨설팅 서비스",기타 금융업,"기업개요
동사는 2003년 7월 1일에 주식회사 농심의 투자사업부문이 인적분할되어 자회사에 대한 지배와 투자 및 업무지원을 목적으로 하는 지주회사로 설립되었음.
주요 자회사 및 종속회사는 농심, 율촌화학, 태경농산, 농심개발, 농심엔지니어링이 있음.
특히 농심 국내 식품업계 대표기업을 넘어 글로벌 식문화 선도기업으로 성장하고 있으며, 면류, 스낵, 음료 등의 판매를 주사업으로 하고 있음.
출처 : 에프앤가이드"
대한제분,"소맥분,토코밀,프리믹스,밀가루조제품,제분부산물 제조/파스타 수입,판매","곡물가공품, 전분 및 전분제품 제조업","기업개요
동사는 소맥분 제조 및 판매 등을 영위할 목적으로 1953년 설립되어 주요 사업으로는 소맥분 제조 및 판매, 사료 제조 및 판매, 하역 및 보관, 반려동물사업, 식음료 판매 등이 있음.
주요 제품으로는 소맥분, 프리믹스, 각종 사료(양돈, 양계, 축우, 양견, 양어), 반려동물 사료, 커피 및 기타음료, 베이커리/멕시칸푸드 등이 있음.
'곰표'는 동사가 설립된 이후 약 70년 함께한 상표로서 현재도 밀가루의 대명사로 자리매김.
출처 : 에프앤가이드"
사조동아원,"제분, 배합사료 제조","곡물가공품, 전분 및 전분제품 제조업","기업개요
동사와 연결종속회사들의 사업부문은 제분부문, 생물자원부문, 기타부문으로 구별됨.
연결실체인 사조동아원는 원맥을 수입 ·가공하여 판매하는 제분사업부문과 가축 및 양식어류의 사료를 제조 ·판매하는 생물자원사업부문을 주요사업으로 영위하고 있음.
경영효율성 증대 및 시너지효과를 극대화 하고자 2017년 기존 최대주주인 한국제분 주식회사를 흡수합병하여 제분사업부문을 통합함.
출처 : 에프앤가이드"
오리온홀딩스,자회사 관리 지주사업 등,기타 금융업,"기업개요
동사는 2017년 6월 1일을 분할기일로 인적분할을 하여 자회사 지분 관리 및 투자를 목적으로 하는 투자사업부문을 주요사업으로 영위하고 있음.
주요 수익은 브랜드 사용수익, 임대수익, 종속회사 등으로부터 수취하는 배당금 수익 등이 있음.
동사와 그 종속기업은 중국, 베트남, 러시아, 인도 등 주요 해외국가에서 글로벌 제과기업으로서 시장지배력을 강화해 나가고 있음.
출처 : 에프앤가이드"
풀무원,"두부류,생면류,나물류,냉동류,조미류,김치류,묵류,녹즙,과채음료,건강보조식품 판매,제조,생식품 수출",기타 식품 제조업,"기업개요
동사는 식품제조업 등을 주사업 목적으로 1984년 설립되었으며 연결 대상 종속회사의 수는 총 31개사이고, 동사를 포함 총 32개사의 사업을 운영하고 있음.
풀무원식품, 풀무원푸드앤컬처, 풀무원건강생활, 풀무원녹즙 등 총 31개의 연결 종속회사를 보유함.
동사의 사업부문은 지주부문, 식품제조유통사업부문, 식품서비스유통사업부문, 건강케어제조유통사업부문, 해외부문으로 크게 구분하고 있음.
출처 : 에프앤가이드"
하이트진로홀딩스,지주회사,기타 금융업,"기업개요
동사는 1933년 8월 9일 설립되었으며 2008년 7월 1일을 기준으로 지주회사체제로 전환하여 2008년 7월 30일 한국거래소에 변경 상장됨.
동사 사업부문은 지주회사, 맥주, 소주, 기타의 영업부문으로 구성되어 있음.
서비스 관련 종속기업의 골프산업 수익성은 블루헤런의 접근성(경기광주-원주고속도로) 개선 등 입장객의 증가 요인으로 수익성이 개선되고 있음.
출처 : 에프앤가이드"
우리손에프앤지,"양돈업, 도축업","도축, 육류 가공 및 저장 처리업","기업개요
양돈, 한우 등의 다양한 축산업을 영위하고 있으며 이 중 양돈부문을 주력 사업으로 하고 있으며, 10개의 종속기업을 보유.
전용 사료, 표준화된 사양관리 시스템을 바탕으로 전체 계열 농장에서 종돈, 사료, 사양관리 통일에 의한 고품질 규격돈을 안정적으로 생산하고 있음.
이지종돈 및 국내 사육환경에 최적화된 양돈 사양관리 매뉴얼을 개발하여 전 계열 농장의 사양관리를 표준화해서 운영함.
출처 : 에프앤가이드"
창해에탄올,"주정(발효주정, 정제주정) 등",알코올음료 제조업,"기업개요
동사는 1966년 6월 16일 설립되어 주정 제조를 주요사업으로 영위하고 있으며, 2014년 코스닥시장에 상장됨.
동사의 사업구분은 주정사업부, 에너지사업부, 엔지니어링사업부, 무역사업부 4개의 부문으로 구분되며, 주요제품은 주정, 건설, 타피오카 등이 있음.
동사의 주요 생산품인 주정을 생산하는 업체는 현재 국내에 9개사가 있으며, 발효주정과 정제주정으로 구분되며, 이들은 소주시장과 밀접한 관계에 있음.
출처 : 에프앤가이드"
하림지주,지주사업,기타 금융업,"기업개요
동사는 지주회사로 그룹의 사업 포트폴리오 관리, 자회사들의 지속성장을 위한 전략 수립 및 비전 제시, M&A를 통한 신사업 발굴, 투자 타당성 검토 등 사업의 최종 조정자 역할 및 윤리경영의 감독자 역할을 수행함.
지주회사인 동사를 비롯하여 핵심 자회사인 팬오션, 제일사료, 하림, 선진, 팜스코, 엔에스쇼핑이 있음.
곡물(해운), 사료, 축산(가금/양돈), 도축가공, 식품제조, 유통판매 등 식품의 가치사슬을 통합 관리하고 있음.
출처 : 에프앤가이드"
한국가구,소파,생활용품 도매업,"기업개요
동사의 연결회사는 지배기업인 주식회사 한국가구와 그 종속기업인 주식회사 제원인터내쇼날, 주식회사 옥방가기로 구성되어 있음.
계열회사인 제원인터내쇼날은 제과, 제빵 원료가 되는 원료를 프랑스, 독일 등에 위치한 30여개의 유명제조업체로부터 독점 수입하여 국내 도매상과 제과점을 비롯한, 호텔 등에 공급 하는 사업을 영위.
동사의 계열회사인 옥방가기는 가구류 도,소매 판매를 목적으로 1991년 9월 설립되었으나 현재 휴업중임.
출처 : 에프앤가이드"
대상홀딩스,지주회사,기타 금융업,"기업개요
2005년 대상㈜로부터 인적 분할하여 설립되었으며 사업부문은 대상㈜에 존속시키고, 투자부문만 분리한 순수지주회사임. 현재 7개의 자회사를 편입.
동사는 자회사의 자금 및 업무 지원, 컨설팅, 연구 및 기술개발과 경영정보의 제공, 경영상담업 등으로 정하고 있음.
동사는 자회사의 자금 및 업무 지원, 컨설팅, 연구 및 기술개발과 경영정보의 제공, 경영상담업 등으로 정하고 있음.
출처 : 에프앤가이드"
보해양조,"주류(소주,매취,실비우스,위스키) 제조,음료 도매",알코올음료 제조업,"기업개요
동사는 소주, 과실주, 리큐르, 탁주, 일반증류주, 위스키, 식음료의 제조 및 판매를 주된 영업으로 하고 있음.
소주 부문은 잎새주, 보해소주, 보해골드, 저도수 소주 등 다양한 브랜드를 운영하여 소비시장의 다양성에 대응하고 있음.
2021년 7월에는 보해가 2년간의 준비과정을 통해 새로운 소주 레시피 기준과 제품력 기반 브랜드 설계를 통해 신제품 '보해소주' 를 출시함.
출처 : 에프앤가이드"
한성기업,"냉동식품,햄제품 제조,도매,보관/원양어업",수산물 가공 및 저장 처리업,"기업개요
동사는 1963년 3월 14일에 수산업 및 수산물 제조가공업 등을 목적사업으로 설립되었으며, 1989년 1월 26일자로 유가증권시장에 주식을 상장.
국내 최초로 명태 필렛을 생산, 수출하고, 국내 최초로 게맛살을 미국시장에 진출 시키는 등 사업영역을 지속적으로 확대함.
사업부문은 해외부문(어획물-참치,명태 외), 식품부문(수산가공품, 육가공품 제품 외), 기타부문(시설이용수입외) 로 구분됨.
출처 : 에프앤가이드"
현대코퍼레이션홀딩스,"브랜드사업, 육류유통",음·식료품 및 담배 도매업,"기업개요
동사는 2015년 10월 설립되었으며, 브랜드사업 및 신사업 2개의 사업부문으로 구성되어 있음.
브랜드 사업 부문에서는 브랜드 사용에 대한 로열티 수입 및 브랜드 OEM을 통한 생산/판매를 하고 있음.
신사업부문에서는 우육, 돈육, 계육 등 축산물의 수입유통 사업과 골판지 상자, 폴리백 등 포장재 생산/판매 및 해외 망고, 비료 등의 해외유통업을 전개하고 있음.
출처 : 에프앤가이드"
마니커에프앤지,"육가공품, 튀김류, 패티류, 삼계탕 등","도축, 육류 가공 및 저장 처리업","기업개요
동사는 1985년 9월에 설립된 (주)마니커로부터 분사되어 2004년 설립되었고, 2008년에는 경산사업장 인수, 사업부문 통합을 하며 사명을 변경함.
계육, 돈육 등 육류를 가공하여 다양한 육가공 제품을 생산하는 식품 제조 사업을 영위하며 주요 제품군은 튀김류, 패티류, 구이류, 육가공류, 훈제류등 7가지로 분류됨.
매출 대부분은 국내에서 발생되고 있으며, 일부 제품의 수출을 통해 미국, 일본, 홍콩 등 해외에 판매하고 있음.
출처 : 에프앤가이드"
미래생명자원,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,"기업개요
동사는 사료부문에서 특수가공원료(EP), 기능성 첨가제, 반려동물 건강기능식품 및 용품 사업을, 식품부문에서 계란, 기능성소재 및 건강기능식품과 영유아식 제조 및 유통 사업을 영위함.
GABA를 활용하여 가축의 스트레스를 저감시켜 가축의 생산성을 향상시키는 제품을 개발 및 상용화하였으며, 이에 대한 특허를 등록.
영유아식 사업은 추후 식단관리가 필요한 성인 및 노년기를 대상으로 한 ‘케어푸드’로 확장 예정.
출처 : 에프앤가이드"
비비씨,덴탈 케어용 소재(테이퍼모 등),그외 기타 제품 제조업,"기업개요
동사는 2008년 6월 설립되었으며, 합성 모노사에 기반한 덴탈케어, 뷰티케어 및 산업현장 케어 소재 사업을 주요 사업으로 영위.
모노필라멘트, 기능성에어필터를 활용한 소재사업과 화장품, 칫솔, 생활용품 관련의 뷰티 및 헬스케어 사업을 영위 중.
소재사업 부문은 엔지니어링 플라스틱 신소재 PBT의 모노필라멘트 압출 및 테이퍼가공 생산기술을 바탕으로 타 제품과 차별화에 성공했고, 뷰티 및 헬스케어 기획~판매 인프라 자체 보유 함.
출처 : 에프앤가이드"
에이치피오,"건강기능식품(유산균, 비타민 등)",기타 식품 제조업,"기업개요
동사는 2012년 4월 6일 건강기능식품 연구개발, 제조 및 판매를 주사업으로 영위할 목적으로 설립되었음. 설립 이후 디톡스엔자임, 해피엔자임 등을 거쳐 2019년 5월 20일 에이치피오로 사명을 변경함.
보고서 작성일 기준 Denps Aps, Denps Shanghai, SAN.PIO, 코펜하겐레서피, 비오팜 등 8개의 종속회사를 가지고 있음.
2021년 5월 14일 코스닥 시장에 상장함.
출처 : 에프앤가이드"
오에스피,프리미엄 반려동물 사료,동물용 사료 및 조제식품 제조업,"기업개요
동사는 주로 ODM 방식으로 반려동물(반려견, 반려묘)용 건식사료를 생산 및 판매하고 있는 회사임.
2022년 기준 연간 생산량의 약 57.6%를 차지하고 있는 반려견 사료의 대부분을 한국과 미국으로부터 인증 받은 유기농 원료를 주로 사용하여 유기농 70%와 유기농 95% 제품인증을 획득한 사료로 생산함.
반려묘 사료는 일부의 유기농 원료와 양질의 동물성 원료 및 기능식 첨가제를 사용하여 슈퍼 프리미엄급 이상으로 생산하고 있음.
출처 : 에프앤가이드"
이지홀딩스,지주회사,동물용 사료 및 조제식품 제조업,"기업개요
동사는 2020년 5월 1일 지주회사 전환을 위해 인적분할하였으며, 분할전인 2020년 5월 1일(분할기준일)까지 배합사료 및 사료첨가제 사업을 영위함.
동사는 현재에도 양돈, 산란, 육계, 오리, 축우산업에 지대한 공헌을 하기 위하여 끊임없는 개혁정신으로 사료산업을 이끌어 나가고 있음.
사료산업은 과학적인 설계기술을 바탕으로 각종원료를 저장, 분쇄, 혼합, 계량, 가공하는 공정을 거쳐 위생적이고 안전한 제품을 생산하고 있음.
출처 : 에프앤가이드"
정다운,"통오리,정육,오리털,훈연육","도축, 육류 가공 및 저장 처리업","기업개요
동사는 육용오리를 도축하여 신선육, 육가공품, HMR 및 우모 등의 판매를 주요사업으로 하고 있는 수직계열화(부화에서 제품공급까지)된 회사임.
오리산업은 종압, 부화, 사육, 도압 생산과 유통판매 등 가치사슬을 통합관리하는 계열화업체를 중심으로 안정적 성장세가 전망됨.
대리점(도매상),급식업체,대형유통업체,온라인몰 등 다양한 경로를 통해 판매되며, 우모의 경우 1차 가공 후 대만 등의 중개상을 통해 2차 가공업체로 전량 수출함.
출처 : 에프앤가이드"
제주맥주,맥주,알코올음료 제조업,"기업개요
동사는 '크래프트 맥주 대중화'의 비전으로 밀맥주 스타일로 첫 제품을 개발하여 2017년 8월 제주위트에일을 출시하고 다양한 고객 세그먼트에 맞춘 브랜드 포트폴리오를 다각화.
메인 브랜드로는 세 가지의 상시 제품(제주위트에일, 제주펠롱에일, 제주거멍에일)과 2022년 출시한 프루티제, 제주누보, 배럴 시리즈가 있음.
메인 브랜드 제품 외에도 다양한 산업의 기업들과 협업을 통해 특색 있는 콜라보레이션 제품을 출시함.
출처 : 에프앤가이드"
