Company,items
세아홀딩스,지주회사/투자 및 경영컨설팅/부동산 임대
알루코,"알루미늄제품,샷시 제조"
원림,"고무,플라스틱제품,산업용포장재,PP.BAG,타포린 제조,도매/부동산 임대/주택 신축,판매/인터넷 정보통신/벤처회사 투자"
태경비케이,"생석회,소석회,석회비료 제조,판매/비금속광물 광업/산업폐기물 재생처리/휴게소 운영"
파미셀,"줄기세포치료제,화장품"
한농화성,"계면활성제,글리콜에테르 제조,판매"
KG ETS,"집단에너지(스팀), 산화동, 폐기물 소각"
금강철강,"냉연압연강판, 산세코일"
대륙제관,휴대용부탄가스 및 금속포장용기
대정화금,"시약, 원료의약품"
대창스틸,"냉연강판, 이중바닥재"
동성화인텍,초저온 보냉재
동양에스텍,"열연박판, 열연후판, 무늬강판"
원풍,플라스틱 필름
웹스,"기능성 컴파운드, 건축외장자재"
유에스티,스테인레스강관
한국팩키지,"카톤팩, 골판지 상자"
PI첨단소재,PI(Polyimide)제품
SHD,"석도강판,표면처리강판 제조,임가공,판매"
그린케미칼,"비이온계면활성제 제조,도매"
깨끗한나라,"펄프,판지원지,화장지 제조,수출입"
동일산업,"봉강,합금철,철근,마봉강,냉간압조용선재,주조,지선,주강,다이아몬드공구 제조,도매"
디씨엠,"PCM(칼라강판),라미네이트강판,산업용필름 제조,판매"
무림페이퍼,"지류,아트지,백상지 제조"
문배철강,"철강재중 판재류(후판,박판,무늬강판) 제조,도매"
율촌화학,"연포장재,필름,골판지상자,합성수지,플라스틱일반성형제품 제조"
이화산업,"염료(반응성염료,분산염료,범용염료,직접염료,산성염료),염료화성품,합성수지,고무 도매,제조"
조일알미늄,"알루미늄판 제조,도매"
테이팩스,"OCA, 2차전지용 테이프, 산업용 랩 등"
포스코스틸리온,"용융아연도금강판,용융알루미늄도금강판,칼라도장강판,냉연강판 가공,제조,도매"
풍산,
한국내화,"내화벽돌,내화몰탈,축로등 제조,판매"
한국특강,"철강압연제품(앵글,이형형강,평철,환봉) 제조,판매"
효성첨단소재,PET타이어코드
대동스틸,"열연박판, 후판, 무늬강판 외"
동국알앤에스,내화물
세림B&G,기업인수
승일,"에어졸캔,에어졸발브,일반관"
에스폴리텍,유무선 통신용 소프트웨어
엔피케이,합성고무 및 플라스틱물질 제조업
원익머트리얼즈,"저메인가스,디실란,아산화질소,암모니아 등"
원익큐브,"MMA,BAM,PC,PP,목재,실란트,디지털인쇄기"
인바이오,"살균제, 살충제, 제초제 등"
제이스코홀딩스,"연강선재, 경강선재, CHQ외"
켐트로닉스,"Touch IC 및 PBA, TG, EMC"
티플랙스,"스텐레스봉,판(열간제품) 제조,도매"
해성산업,시설관리 용역 및 부동산 임대
