Company,items
HJ중공업,"선박건조,기계플랜트 제조/토목공사,건축공사,조경공사,전기공사,가스공사,준설공사,기계설비공사"
LX인터내셔널,"전자,기계,화공,유류.금속,의류 수출입,도소매"
범양건영,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사"
벽산,"단열재, 천장재, 외장재, 내장재, 외단열, 바닥재 등"
아세아시멘트,"시멘트, 레미콘, 몰탈"
에어부산,항공 여객 및 화물 운송
유니온,"백시멘트,타일시멘트,알루미나시멘트,용융알루미나,급결제,필터프레스,유니필터제조,도매"
이건산업,"컨테이너용합판,목재 파렛트,프레스우드 파렛트,가공목재,제재목 제조/부동산 임대"
퍼스텍,"방위산업제품,프린터,불소화합물,자동차용 매트 제조/얼굴인식시스템 개발"
퍼시스,"사무용 가구,의자,책상,캐비넷 제조"
한국공항,"항공기 지상조업,항공화물 상하역,장비대여,항공용역사업,항공기급유,항공화물 취급,보관,부정기헬기운송,여행알선,광업,먹는샘물 제조,농축산업"
한국항공우주,"정부방산 및 완제기 수출(T-50계열, KUH계열, KT-1계열 등), 기체부품"
한일현대시멘트,"시멘트,시멘트반제품 제조,판매/콘도미니엄,스키장,종합레저관광산업,체육진흥사업,사업서비스"
한진,"포장화물,택배산업,항만하역,고속버스사업,운수보관"
한화시스템,"정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조"
한화오션,선박 제조
현대리바트,"일반목재가구(책상,침실가구),주방가구,목창호,사무용가구,선실가구 제조"
현대지에프홀딩스,"백화점,여행알선,숙박,음식점/부동산 임대"
혜인,"건설기계,산업용 기계장비(진공흡인차,세정차),스테거크레인,비상용발전기,해상용엔진 도소매/창고"
3S,반도체 웨이퍼 캐리어
KCC건설,"토목 건축공사, 분양공사"
TPC,"구동기기(실린더), 방향제어기(밸브)"
꿈비,"놀이방매트, 유아거실가구 등"
나이스디앤비,기업신용조사 보고서
나이스정보통신,카드 VAN사업
동신건설,토목
범한퓨얼셀,"잠수함용 연료전지모듈, 건물용 연료전지 시스템, 수소충전소 구축"
보광산업,"콘크리트용 부순골재, 아스콘, 레미콘"
선광,"항만하역, 해사(바다모래)"
에너토크,전동액츄에이터
에스앤더블류,"디젤엔진부품, 산업부품, 단조품"
와토스코리아,위생도기용부속(양변기용)
이화공영,도급공사
일승,환경장비
제노코,"위성탑재체, 위성운용국, 항공전자 등"
케이에스피,"선박용엔진밸브,형단조품"
현대에버다임,"콘크리트펌프트럭, 중장비개량사업"
HD현대인프라코어,"굴착기,엔진 제조,도소매"
KTcs,전화번호검색 데이타제공/콜센터 운영
SIMPAC,"프레스, 합금철"
SNT에너지,"공냉식 열교환장치,폐열회수장치 제조"
대원전선,"전선,통신케이블,무선통신장비,합성수지 제조,도매/부동산 매매,임대"
동방,"육상운송,해상운송,항만화물하역,보관,창고,물류사업"
동양고속,고속버스 운송/부동산 임대
두산,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등"
두산에너빌리티,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설"
롯데렌탈,"렌터카, 카셰어링(그린카), 중고차매매, 일반렌탈(측정기,OA, 리프트 등)"
이엔플러스,소방자동차 제조
일진홀딩스,"전기산업용기기(개폐기,차단기,배전반),자동화시스템,자동차엔진부품,절연전선,금구류,고압선,저압선 제조,판매/전기공사,가스절연차단기"
자이에스앤디,"부동산 관리, 정보통신 공사, 아파트 AS 및 옵션 제품 공급, 건축물 시공 및 분양"
팬오션,"해상화물운송(외항,운수보관)"
한솔홈데코,"PB,MDF,바닥재,강화,재생목재,LPM,제재목 제조,도소매,무역/임업,벌목관련 사업"
화천기계,"선반,밀링,연삭기,CNC선반,CNC밀링,머시닝센타 제조,판매/자동차부품(실린더블럭) 제조"
