Company,items
메디아나,"환자감시장치, 자동심장 제세동기(AED)"
바디텍메드,면역진단기기 및 카트리지
삼아제약,"노마에프, 아토크건조시럽, 코데날정, 코코시럽, 스마엘"
셀트리온제약,고덱스 캡슐 외
신신제약,파스류 (신신파스 아렉스 등)
아이진,"당뇨성망막병증 치료제, 욕창치료제, 대상포진백신, 코로나19 예방백신 등"
알리코제약,완제 의약품
엔젠바이오,"유전체 분야 진단시약 제조 및 유전체 분야 소프트웨어 연구,개발,판매"
오스코텍,"뼈이식재,건강식품소재"
올릭스,siRNA 신약 개발
우정바이오,"동물실험,CRO서비스,사육장비,세척장비등"
원바이오젠,"창상피복제, 습윤드레싱제"
유비케어,"의사랑,유팜,미소몰"
이루다,레이저 및 고주파 의료기기
인터로조,"콘텍트렌즈(소프트렌즈, 원데이렌즈, 하드렌즈 등)"
인트론바이오,"바이오 신약, 분자진단제품, 동물용항생제대체재"
지아이이노베이션,면역항암제 및 알레르기 치료제
카이노스메드,기업인수합병
코아스템켐온,줄기세포 치료제
퀀타매트릭스,신속항균제검사 장비 및 키트
클리노믹스,"Geno Series, CD-PRIME, Cancer Prime"
티움바이오,"특발성폐섬유증 치료제, 면역항암제, 자궁내막증치료제, 혈우병치료제"
팬젠,"바이오시밀러 의약품 개발, 바이오의약품 개발 기술이전 서비스 등"
피씨엘,"다중 체외진단 제품, 플랫폼서비스"
한스바이오메드,"인체이식용조직(인조피부,인조뼈),의료용시술재료(가슴보형물)"
휴젤,"보툴리눔톡신, 필러"
