Company,items
한진칼,"지주사업, 경영자문 및 컨설팅"
현대모비스,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)"
효성티앤씨,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등"
GH신소재,"자동차용 부직포, 폴리우레탄 폼"
경창산업,"각종 케이블, 개폐랫치, 리저브탱크, 밴드류, 페달류, 오토트랜스미션부품, 시트용 단품"
골드앤에스,"방과후컴퓨터상설반,교재및CD"
디케이앤디,합성피혁 및 부직포
라파스,"마이크로니들 패치 제품(의약품패치, 의료기기패치, 미용패치 등)"
모베이스,휴대전화 케이스
서부T&D,석유류판매
세화피앤씨,염모제 등
아이톡시,게임
에스티오,"셔츠,자켓/바지, 타이"
엔에프씨,화장품 원료 제조 및 판매
예스24,"도서,음반/DVD,화장품"
와이엠,"볼트, 나사"
유라테크,"점화코일, 스파크플러그"
일지테크,"차체(라지에타, 팩케이지, 씨트 크로스, 대쉬 판넬)"
제이에스티나,"주얼리,가죽제품,손목시계"
케이옥션,미술품 경매 및 판매
코드네이처,전기공사업
코웰패션,"의복, 잡화, 콘덴서"
큐렉소,"만화단행본, 정기간행물"
파세코,"창문형에어컨,석유스토브"
화신정공,자동차부품
HDC현대EP,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매"
KG모빌리티,"자동차,자동차부품,차륜,정비 제조/도소매"
KR모터스,"이륜차(오토바이) 제조,도매"
LF,"기성복, 의류, 잡화, 제조"
LG생활건강,"화장품,생활용품 제조,도매"
LS네트웍스,"혁화,의류,등산용품 도매,제조/부동산 임대"
SG세계물산,"피복류,봉제품,P.E제품 수출입,도매,제조/조경사업"
넥센,"자동차용 재생타이어튜브,솔리드타이어,고무부품,골프볼,와이어로프소재,특수강선,열처리도금선,건자재 제조,판매,수출입"
대교,"학습지,참고서 출판/건설업/종합유선방송 프로그램공급,디지털학원"
대우부품,"전해콘덴서,복합부품,전자튜너 제조"
동양피스톤,자동차엔진용 피스톤
방림,"P/C혼방직물,면방적,각종사류,직물류 제조,도소매"
삼양통상,"피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역"
새론오토모티브,"자동차부품(브레이크패드,라이닝)"
씨티알모빌리티,"이너레이스, 오디 클러치보스, 로터샤프트, 슬리브기어, 컨트롤 암, 엑슬"
아모레퍼시픽,"화장품,생활용품 제조, 판매"
제이준코스메틱,화장품 제조 판매
한세엠케이,"케주얼웨어(BUCKAROO, TBJ 등)"
현대홈쇼핑,TV홈쇼핑 도소매/홈쇼핑프로그램 제작
휴비스,"합성섬유(폴리에스테르원사,원면),재생섬유,폴리에스텔 원사,원면,고상칩 제조,도소매"
BGF에코머티리얼즈,엔지니어링 플라스틱 칩
NE능률,영어학습교재
YBM넷,"온라인교육, 수수료수입 등"
구영테크,엔진 브라켓(Engine Bracket) 등
그래디언트,전자상거래
대동금속,"농기계 주문제품 및 상용차 실린더 헤드, 경승용차 실린더 브록 외"
디젠스,자동차용 소음기(머플러)
메가스터디,"온라인강의,교재판매"
모다이노칩,"ESD필터,칩바리스터"
시공테크,"박물관, 전시관, 엑스포, 특수영상"
아이에이,"반도체 및 모듈, 제어기"
위니아에이드,"전자제품 소매, 물류주선, 서비스대행"
제닉,"하이드로겔 마스크 팩, 기타화장품"
커넥트웨이브,"인터넷쇼핑몰 가격비교서비스, 온라인광고"
코데즈컴바인,패션의류
코디,"화장품제조,LCD A/S"
코리아에프티,"캐니스터,플라스틱필러넥,의장부품"
티피씨글로벌,"정밀인발강관, 정밀강관, Water pipe, Filler Neck 등"
현대공업,"시트패드, 암레스트, 헤드레스트"
BYC,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급"
DRB동일,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매"
GKL,카지노
HL만도,"제동장치, 조향장치, 현가장치"
계양전기,"전동공구(그라인더,드릴,커팅머신 등), 엔진, 자동차용 모터 제조"
금호에이치티,자동차용 전구 및 LED모듈
대유플러스,"유,무선 통신장비"
대현,"여성의류 및 악세사리류 제조,도매,유통(백화점)"
동일고무벨트,"산업용고무제품, 종합고무부품"
두올,시트 커버 및 시트 원단
롯데쇼핑,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래"
상신브레이크,"자동차 브레이크 슈 어셈블리,브레이크패드 제조/군납업,무역/부동산 임대"
세기상사,"극장(영화상영)/극영화,만화영화 제조/음식료품,일용잡화 소매/부동산 임대"
세방전지,"자동차용 및 산업용 축전지(연축전지) 제조,판매"
웅진씽크빅,"기타출판 제조/서적,교구,통신판매 도소매/부동산 임대/교구렌탈,컴퓨터운용관련서비스"
일신방직,"면사,P/C혼방사,P/C혼방직물,화섬사 제조,수출"
잇츠한불,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등"
전방,"면사,면혼방사,마혼방사,화섬사,염색사,자수사,소모사,면직물,면혼방직물,화섬직물,특수가공직물 제조,판매,수출"
체시스,"자동차부품,뒷차축 제조"
평화홀딩스,지주회사
한세실업,의류 완제품
한세예스24홀딩스,"의류(니트) 제조,도소매,원단 제조,부동산 임대"
현대위아,"자동차부품, 공작기계 등"
화신,"자동차엔진부품(ARM류,C/MBR류),자동차부품 제조"
THE MIDONG,"차량용 블랙박스, 차량운행보조시스템"
골프존뉴딘홀딩스,골프시뮬레이터
메디앙스,"누크, 비비생활용품, 비앙또마망, 지에닉, 닥터 아토피스"
삼기이브이,배터리(이차전지) 부품 (엔드플레이트)
서연탑메탈,자동차금형.건설중장비 부품
서진오토모티브,"Clutch,Flywheel,Driveplate,Bearing,ATparts"
세동,"도어벨트, 몰딩"
실리콘투,화장품 유통
씨앤투스,"에어필터, 산업용 및 보건용 마스크"
아난티,리조트 운영 및 분양
아이패밀리에스씨,"색조화장품 브랜드 `롬앤(Rom&nd)', IT기반 웨딩서비스 브랜드 `아이웨딩`"
에코플라스틱,BUMPER 및 자동차TRIM류
오리엔트정공,"하우징, 리테이너베어링"
우리산업,ACTUATOR 등
원익,"Quartz, HIC, 의료기기"
위즈코프,인터넷 인프라 및 응용
윙스풋,신발 매입 및 공급
코리아나,화장품
하츠,"레인지후드, 빌트인 기기 등"
한주라이트메탈,알루미늄 기반 경량화 자동차 부품
